,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL29097,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,intermediate,472.09400000000016,8.010300000000008,1.0,3.0,7.638272163982407
1,CHEMBL32842,O=C(O)CSC(CCCc1ccc(Cl)cc1)c1ccc(OCc2ccc3ccccc3n2)cc1,weakly active,492.04000000000025,7.349000000000006,1.0,4.0,6.913640169325252
2,CHEMBL281308,O=C(O)CSC(CCCc1ccccc1)(CCc1ccccc1)c1ccc(OCc2ccc3ccccc3n2)cc1,highly active,561.7470000000002,8.482600000000005,1.0,4.0,8.397940008672037
3,CHEMBL16596,CC(C)(C)Sc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c2ccc(OCc3ccc4ccccc4n3)cc12,highly active,587.1850000000001,9.0141,1.0,5.0,8.698970004336019
4,CHEMBL297661,Cc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c2ccc(OCc3ccc(-c4ccccc4)cn3)cc12,highly active,539.0750000000002,7.945720000000007,1.0,4.0,8.031517051446064
5,CHEMBL295761,CC1Cc2c(OCc3ccc(-c4ccccc4)cn3)ccc3c2c(c(CC(C)(C)C(=O)O)n3Cc2ccc(Cl)cc2)S1,weakly active,597.1800000000004,8.674000000000001,1.0,5.0,5.0
6,CHEMBL31540,Cc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c2ccc(OCc3ccc4ccccc4n3)cc12,highly active,513.0370000000003,7.431920000000006,1.0,4.0,8.55284196865778
7,CHEMBL47539,C=CCc1c(OCc2ccc3ccccc3n2)ccc2c1c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,intermediate,627.2500000000002,9.742599999999998,1.0,5.0,7.568636235841013
8,CHEMBL50170,CC1Cc2c(OCc3ccc4ccccc4n3)ccc3c2c(c(CC(C)(C)C(=O)O)n3Cc2ccc(Cl)cc2)S1,intermediate,571.1420000000004,8.160200000000005,1.0,5.0,7.721246399047171
9,CHEMBL341696,CC1Cc2c(OCc3cc4ccccc4cn3)ccc3c2c(c(CSc2ccccc2C(=O)O)n3Cc2ccc(Cl)cc2)S1,weakly active,637.2260000000003,9.497399999999997,1.0,6.0,5.5376020021010435
10,CHEMBL139891,CC1Cc2c(OCc3ccc4ccccc4n3)ccc3c2c(c(COc2ccccc2CC(=O)O)n3Cc2ccc(Cl)cc2)S1,intermediate,635.1850000000004,8.713000000000003,1.0,6.0,7.494850021680094
